Week,Day,Date,Workout,Exercise,Weight,Sets,Reps or Time,Notes
1,Mon,Aug 25,Strength A,Dumbbell Bench Press,15kg,3,,felt a bit easy
,,,,Seated Cable Row,25kg,3,,challenging
,,,,Push-Ups,BW,3,,"challenging,but could have done a couple more with bad form."
,,,,Plank,BW,1,,hard to keep form
,,,,Bird-Dog,BW,3,,challenging 
,Wed,Aug 27,Strength B,Bodyweight Squats,BW,3,15/15/15,not too hard
,,,,Lat Pulldown,35kg,3,"12,/15/15",not too hard
,,,,Glute Bridges,BW,3,15/15/15,easy
,,,,Dumbbell Bicep Curls,7.5kg each,3,12/12/12 both,challenging
,,,,Dead Bug,BW,3,20/20/20,challenging 
,Fri,Aug 29,Swimming,Freestyle Swim,,20 laps,20 minutes,Could have done a few more minutes but was running late
2,Mon,Sep 1,Strength A,Dumbbell Bench Press,17.5kg,3,8/8/2008,challenging. last rep was hard.
,,,,Seated Cable Row,25kg,3,12/10/10,had to adjust the machine a bit. kind of challenging.
,,,,Push-Ups,BW,3,13/11/12,hard
,,,,Plank,BW,1,45,quite hard
,,,,Bird-Dog,BW,3,10/10/10,
,Wed,Sep 3,Strength B,Bodyweight Squats,BW,3,12/12/12,challenging butngood
,,,,Lat Pulldown,40kg,3,10/11/10,very hard
,,,,Glute Bridges,15kg,3,15/15/15,challenging 
,,,,Dumbbell Bicep Curls,7.5kg each,3,12/12/12,challenging 
,,,,Dead Bug,BW,3,10/10/10,not bad
,Fri,Sep 5,Swimming,Freestyle Swim,,26 laps,26 minutes,Was tired from a busy day gardening the day before
3,Mon,Sep 8,Strength A,Dumbbell Bench Press,20kg,3,10/10/10,hard
,,,,Seated Cable Row,30kg,3,10/10//10,challenging 
,,,,Push-Ups,BW,3,15/12/11,hard
,,,,Plank,BW,1,55 seconds,hard
,,,,Bird-Dog,BW,3,8//15/15,challenging 
,Wed,Sep 10,Strength B,Bodyweight Squats,10kg,3,15/12/15,not bad
,,,,Lat Pulldown,44kg (22 each side),3,10/10/10,hard
,,,,Glute Bridges,15kg,3,15/15/15,not bad
,,,,Dumbbell Bicep Curls,7.5kg each,3,12/12/12,not bad
,,,,Dead Bug,BW,3,10/10/10 per side,
,Fri,Sep 12,Swimming,Freestyle Swim,,35 laps,30 minutes,hard
4,Mon,Sep 15,Strength A,Dumbbell Bench Press,20kg,3,8/8/2008,hard
,,,,Seated Cable Row,35kg,3,10/10/10,hard
,,,,Push-Ups,BW,3,15/14/8,hard
,,,,Plank,BW,1,1:00,hard
,,,,Bird-Dog,BW,3,10/15/15,not bad
,Wed,Sep 17,Strength B,Bodyweight Squats,BW,3,15/15/15,challenging
,,,,Lat Pulldown,44kg (22 each side),3,15/12/9,hard
,,,,Glute Bridges,BW,3,15/15/15,challenging 
,,,,Dumbbell Bicep Curls,8kg,3,15/15/15,hard
,,,,Dead Bug,BW,3,10/10/10,
,Fri,Sep 19,Swimming,Freestyle Swim,,40 laps,30 minutes ,totally gassed. nearly vomited and fainted on walk home.
